,date,exercise_date,close,contract_type,exercise_price,maturity
0,2015-02-09,2015-03-25,0.1826,call,2.2,0.12054794520547946
1200,2015-02-09,2015-06-24,0.1379,put,2.2,0.3698630136986301
1290,2015-02-09,2015-06-24,0.1631,put,2.25,0.3698630136986301
1380,2015-02-09,2015-06-24,0.1882,put,2.3,0.3698630136986301
1470,2015-02-09,2015-06-24,0.2055,put,2.35,0.3698630136986301
84,2015-02-09,2015-03-25,0.0942,call,2.35,0.12054794520547946
1560,2015-02-09,2015-06-24,0.2329,put,2.4,0.3698630136986301
1650,2015-02-09,2015-09-23,0.313,call,2.2,0.6191780821917808
1803,2015-02-09,2015-09-23,0.2787,call,2.25,0.6191780821917808
1956,2015-02-09,2015-09-23,0.2583,call,2.3,0.6191780821917808
2109,2015-02-09,2015-09-23,0.2326,call,2.35,0.6191780821917808
2262,2015-02-09,2015-09-23,0.2116,call,2.4,0.6191780821917808
2415,2015-02-09,2015-09-23,0.1795,put,2.2,0.6191780821917808
56,2015-02-09,2015-03-25,0.1225,call,2.3,0.12054794520547946
2568,2015-02-09,2015-09-23,0.2116,put,2.25,0.6191780821917808
2721,2015-02-09,2015-09-23,0.2361,put,2.3,0.6191780821917808
1110,2015-02-09,2015-06-24,0.1652,call,2.4,0.3698630136986301
1020,2015-02-09,2015-06-24,0.187,call,2.35,0.3698630136986301
112,2015-02-09,2015-03-25,0.0735,call,2.4,0.12054794520547946
930,2015-02-09,2015-06-24,0.2105,call,2.3,0.3698630136986301
224,2015-02-09,2015-03-25,0.1268,put,2.35,0.12054794520547946
252,2015-02-09,2015-03-25,0.1542,put,2.4,0.12054794520547946
280,2015-02-09,2015-04-22,0.21,call,2.2,0.19726027397260273
168,2015-02-09,2015-03-25,0.0777,put,2.25,0.12054794520547946
327,2015-02-09,2015-04-22,0.1785,call,2.25,0.19726027397260273
374,2015-02-09,2015-04-22,0.1466,call,2.3,0.19726027397260273
421,2015-02-09,2015-04-22,0.1261,call,2.35,0.19726027397260273
2874,2015-02-09,2015-09-23,0.2549,put,2.35,0.6191780821917808
468,2015-02-09,2015-04-22,0.1008,call,2.4,0.19726027397260273
562,2015-02-09,2015-04-22,0.1111,put,2.25,0.19726027397260273
140,2015-02-09,2015-03-25,0.0617,put,2.2,0.12054794520547946
609,2015-02-09,2015-04-22,0.1327,put,2.3,0.19726027397260273
656,2015-02-09,2015-04-22,0.1614,put,2.35,0.19726027397260273
703,2015-02-09,2015-04-22,0.1903,put,2.4,0.19726027397260273
750,2015-02-09,2015-06-24,0.2662,call,2.2,0.3698630136986301
840,2015-02-09,2015-06-24,0.2366,call,2.25,0.3698630136986301
515,2015-02-09,2015-04-22,0.088,put,2.2,0.19726027397260273
3027,2015-02-09,2015-09-23,0.2935,put,2.4,0.6191780821917808
196,2015-02-09,2015-03-25,0.0969,put,2.3,0.12054794520547946
28,2015-02-09,2015-03-25,0.146,call,2.25,0.12054794520547946
328,2015-02-10,2015-04-22,0.1897,call,2.25,0.19452054794520549
3326,2015-02-10,2015-06-24,0.1441,call,2.45,0.36712328767123287
1201,2015-02-10,2015-06-24,0.1076,put,2.2,0.36712328767123287
1291,2015-02-10,2015-06-24,0.1282,put,2.25,0.36712328767123287
516,2015-02-10,2015-04-22,0.0645,put,2.2,0.19452054794520549
197,2015-02-10,2015-03-25,0.0757,put,2.3,0.1178082191780822
1111,2015-02-10,2015-06-24,0.1688,call,2.4,0.36712328767123287
3028,2015-02-10,2015-09-23,0.2503,put,2.4,0.6164383561643836
281,2015-02-10,2015-04-22,0.224,call,2.2,0.19452054794520549
85,2015-02-10,2015-03-25,0.1055,call,2.35,0.1178082191780822
1561,2015-02-10,2015-06-24,0.1996,put,2.4,0.36712328767123287
169,2015-02-10,2015-03-25,0.0578,put,2.25,0.1178082191780822
3234,2015-02-10,2015-04-22,0.0898,call,2.45,0.19452054794520549
1651,2015-02-10,2015-09-23,0.3325,call,2.2,0.6164383561643836
1471,2015-02-10,2015-06-24,0.1728,put,2.35,0.36712328767123287
3280,2015-02-10,2015-04-22,0.1836,put,2.45,0.19452054794520549
1021,2015-02-10,2015-06-24,0.1905,call,2.35,0.36712328767123287
113,2015-02-10,2015-03-25,0.0855,call,2.4,0.1178082191780822
931,2015-02-10,2015-06-24,0.2165,call,2.3,0.36712328767123287
841,2015-02-10,2015-06-24,0.2446,call,2.25,0.36712328767123287
375,2015-02-10,2015-04-22,0.1604,call,2.3,0.19452054794520549
751,2015-02-10,2015-06-24,0.2751,call,2.2,0.36712328767123287
3504,2015-02-10,2015-09-23,0.2063,call,2.45,0.6164383561643836
704,2015-02-10,2015-04-22,0.1528,put,2.4,0.19452054794520549
657,2015-02-10,2015-04-22,0.127,put,2.35,0.19452054794520549
422,2015-02-10,2015-04-22,0.1346,call,2.35,0.19452054794520549
610,2015-02-10,2015-04-22,0.102,put,2.3,0.19452054794520549
3656,2015-02-10,2015-09-23,0.279,put,2.45,0.6164383561643836
141,2015-02-10,2015-03-25,0.0451,put,2.2,0.1178082191780822
563,2015-02-10,2015-04-22,0.0829,put,2.25,0.19452054794520549
469,2015-02-10,2015-04-22,0.1095,call,2.4,0.19452054794520549
3415,2015-02-10,2015-06-24,0.2283,put,2.45,0.36712328767123287
1804,2015-02-10,2015-09-23,0.304,call,2.25,0.6164383561643836
1381,2015-02-10,2015-06-24,0.1518,put,2.3,0.36712328767123287
2110,2015-02-10,2015-09-23,0.254,call,2.35,0.6164383561643836
2722,2015-02-10,2015-09-23,0.198,put,2.3,0.6164383561643836
2416,2015-02-10,2015-09-23,0.1542,put,2.2,0.6164383561643836
2263,2015-02-10,2015-09-23,0.2283,call,2.4,0.6164383561643836
