"","Month","Series_ID","Title","Employed"
"1",1939 Jan,"CEU0500000001","Total Private",25338
"2",1939 Feb,"CEU0500000001","Total Private",25447
"3",1939 Mar,"CEU0500000001","Total Private",25833
"4",1939 Apr,"CEU0500000001","Total Private",25801
"5",1939 May,"CEU0500000001","Total Private",26113
"6",1939 Jun,"CEU0500000001","Total Private",26485
"7",1939 Jul,"CEU0500000001","Total Private",26481
"8",1939 Aug,"CEU0500000001","Total Private",26848
"9",1939 Sep,"CEU0500000001","Total Private",27468
"10",1939 Oct,"CEU0500000001","Total Private",27830
"11",1939 Nov,"CEU0500000001","Total Private",27740
"12",1939 Dec,"CEU0500000001","Total Private",27886
"13",1940 Jan,"CEU0500000001","Total Private",26847
"14",1940 Feb,"CEU0500000001","Total Private",26902
"15",1940 Mar,"CEU0500000001","Total Private",27205
"16",1940 Apr,"CEU0500000001","Total Private",27255
"17",1940 May,"CEU0500000001","Total Private",27535
"18",1940 Jun,"CEU0500000001","Total Private",27765
"19",1940 Jul,"CEU0500000001","Total Private",27789
"20",1940 Aug,"CEU0500000001","Total Private",28332
"21",1940 Sep,"CEU0500000001","Total Private",29007
"22",1940 Oct,"CEU0500000001","Total Private",29399
"23",1940 Nov,"CEU0500000001","Total Private",29619
"24",1940 Dec,"CEU0500000001","Total Private",30221
"25",1941 Jan,"CEU0500000001","Total Private",29402
"26",1941 Feb,"CEU0500000001","Total Private",29671
"27",1941 Mar,"CEU0500000001","Total Private",30079
"28",1941 Apr,"CEU0500000001","Total Private",30610
"29",1941 May,"CEU0500000001","Total Private",31379
"30",1941 Jun,"CEU0500000001","Total Private",31999
"31",1941 Jul,"CEU0500000001","Total Private",32545
"32",1941 Aug,"CEU0500000001","Total Private",33014
"33",1941 Sep,"CEU0500000001","Total Private",33417
"34",1941 Oct,"CEU0500000001","Total Private",33457
"35",1941 Nov,"CEU0500000001","Total Private",33367
"36",1941 Dec,"CEU0500000001","Total Private",33552
"37",1942 Jan,"CEU0500000001","Total Private",32660
"38",1942 Feb,"CEU0500000001","Total Private",32739
"39",1942 Mar,"CEU0500000001","Total Private",33240
"40",1942 Apr,"CEU0500000001","Total Private",33764
"41",1942 May,"CEU0500000001","Total Private",34203
"42",1942 Jun,"CEU0500000001","Total Private",34624
"43",1942 Jul,"CEU0500000001","Total Private",35065
"44",1942 Aug,"CEU0500000001","Total Private",35460
"45",1942 Sep,"CEU0500000001","Total Private",35771
"46",1942 Oct,"CEU0500000001","Total Private",35852
"47",1942 Nov,"CEU0500000001","Total Private",35867
"48",1942 Dec,"CEU0500000001","Total Private",36209
"49",1943 Jan,"CEU0500000001","Total Private",35494
"50",1943 Feb,"CEU0500000001","Total Private",35627
"51",1943 Mar,"CEU0500000001","Total Private",35955
"52",1943 Apr,"CEU0500000001","Total Private",36212
"53",1943 May,"CEU0500000001","Total Private",36202
"54",1943 Jun,"CEU0500000001","Total Private",36608
"55",1943 Jul,"CEU0500000001","Total Private",36637
"56",1943 Aug,"CEU0500000001","Total Private",36628
"57",1943 Sep,"CEU0500000001","Total Private",36584
"58",1943 Oct,"CEU0500000001","Total Private",36658
"59",1943 Nov,"CEU0500000001","Total Private",36810
"60",1943 Dec,"CEU0500000001","Total Private",36815
"61",1944 Jan,"CEU0500000001","Total Private",36018
"62",1944 Feb,"CEU0500000001","Total Private",35973
"63",1944 Mar,"CEU0500000001","Total Private",35948
"64",1944 Apr,"CEU0500000001","Total Private",35833
"65",1944 May,"CEU0500000001","Total Private",35768
