loan_size,interest_rate,homeowner,borrower_income,debt_to_income,num_of_accounts,derogatory_marks,total_debt,loan_status
10700.0,7.672,own,52800,0.4318181818181818,5,1,22800,low_risk
8400.0,6.692,own,43600,0.3119266055045872,3,0,13600,low_risk
9000.0,6.963,rent,46100,0.3492407809110629,3,0,16100,low_risk
10700.0,7.664,own,52700,0.4307400379506641,5,1,22700,low_risk
10800.0,7.698,mortgage,53000,0.4339622641509434,5,1,23000,low_risk
10100.0,7.438,mortgage,50600,0.40711462450592883,4,1,20600,low_risk
10300.0,7.49,mortgage,51100,0.41291585127201563,4,1,21100,low_risk
8800.0,6.857,mortgage,45100,0.3348115299334812,3,0,15100,low_risk
9300.0,7.096,own,47400,0.3670886075949367,3,0,17400,low_risk
9700.0,7.248,rent,48800,0.38524590163934425,4,0,18800,low_risk
9300.0,7.085,own,47300,0.3657505285412262,3,0,17300,low_risk
9200.0,7.015,own,46600,0.3562231759656652,3,0,16600,low_risk
9200.0,7.043,own,46900,0.3603411513859275,3,0,16900,low_risk
9400.0,7.101,mortgage,47400,0.3670886075949367,3,0,17400,low_risk
8400.0,6.703,mortgage,43700,0.3135011441647597,3,0,13700,low_risk
9400.0,7.136,mortgage,47700,0.3710691823899371,3,0,17700,low_risk
8900.0,6.897,own,45500,0.34065934065934067,3,0,15500,low_risk
8300.0,6.648,mortgage,43200,0.3055555555555556,2,0,13200,low_risk
8000.0,6.539,mortgage,42100,0.28741092636579574,2,0,12100,low_risk
10200.0,7.46,rent,50800,0.4094488188976378,4,1,20800,low_risk
5200.0,5.326,mortgage,30700,0.02280130293159609,0,0,700,low_risk
9300.0,7.068,own,47100,0.3630573248407643,3,0,17100,low_risk
7300.0,6.225,own,39200,0.23469387755102042,2,0,9200,low_risk
9000.0,6.943,own,45900,0.3464052287581699,3,0,15900,low_risk
8700.0,6.813,own,44700,0.3288590604026846,3,0,14700,low_risk
8800.0,6.85,mortgage,45100,0.3348115299334812,3,0,15100,low_risk
8400.0,6.7,mortgage,43700,0.3135011441647597,3,0,13700,low_risk
7900.0,6.482,own,41600,0.27884615384615385,2,0,11600,low_risk
9700.0,7.267,mortgage,49000,0.3877551020408163,4,0,19000,low_risk
8400.0,6.7,own,43600,0.3119266055045872,3,0,13600,low_risk
7100.0,6.159,mortgage,38600,0.22279792746113988,1,0,8600,low_risk
9600.0,7.216,mortgage,48500,0.38144329896907214,4,0,18500,low_risk
10000.0,7.389,mortgage,50100,0.40119760479041916,4,1,20100,low_risk
10400.0,7.553,mortgage,51700,0.4197292069632495,4,1,21700,low_risk
9400.0,7.118,mortgage,47600,0.3697478991596639,3,0,17600,low_risk
10100.0,7.437,own,50600,0.40711462450592883,4,1,20600,low_risk
8300.0,6.638,mortgage,43100,0.3039443155452436,2,0,13100,low_risk
9800.0,7.296,own,49300,0.39148073022312374,4,0,19300,low_risk
9100.0,7.011,rent,46600,0.3562231759656652,3,0,16600,low_risk
8100.0,6.561,mortgage,42300,0.2907801418439716,2,0,12300,low_risk
8800.0,6.852,own,45100,0.3348115299334812,3,0,15100,low_risk
9100.0,6.981,mortgage,46300,0.35205183585313177,3,0,16300,low_risk
10200.0,7.454,own,50700,0.40828402366863903,4,1,20700,low_risk
7200.0,6.173,own,38700,0.2248062015503876,1,0,8700,low_risk
8900.0,6.927,own,45800,0.34497816593886466,3,0,15800,low_risk
8400.0,6.684,mortgage,43500,0.3103448275862069,3,0,13500,low_risk
9400.0,7.119,mortgage,47600,0.3697478991596639,3,0,17600,low_risk
9300.0,7.072,own,47200,0.3644067796610169,3,0,17200,low_risk
11700.0,8.104,rent,56900,0.4727592267135325,6,1,26900,low_risk
8300.0,6.653,mortgage,43200,0.3055555555555556,2,0,13200,low_risk
10600.0,7.626,rent,52400,0.42748091603053434,5,1,22400,low_risk
10400.0,7.551,own,51700,0.4197292069632495,4,1,21700,low_risk
8500.0,6.755,mortgage,44200,0.3212669683257919,3,0,14200,low_risk
11100.0,7.829,own,54300,0.44751381215469616,5,1,24300,low_risk
8800.0,6.856,own,45100,0.3348115299334812,3,0,15100,low_risk
8500.0,6.728,own,43900,0.31662870159453305,3,0,13900,low_risk
10000.0,7.386,mortgage,50100,0.40119760479041916,4,1,20100,low_risk
8200.0,6.605,mortgage,42800,0.29906542056074764,2,0,12800,low_risk
8400.0,6.689,own,43500,0.3103448275862069,3,0,13500,low_risk
10100.0,7.419,own,50400,0.40476190476190477,4,1,20400,low_risk
10600.0,7.637,mortgage,52500,0.42857142857142855,5,1,22500,low_risk
11200.0,7.869,mortgage,54600,0.45054945054945056,5,1,24600,low_risk
10800.0,7.7,mortgage,53100,0.4350282485875706,5,1,23100,low_risk
8800.0,6.872,mortgage,45300,0.33774834437086093,3,0,15300,low_risk
8500.0,6.728,mortgage,43900,0.31662870159453305,3,0,13900,low_risk
9600.0,7.22,own,48500,0.38144329896907214,4,0,18500,low_risk
10100.0,7.406,own,50300,0.40357852882703776,4,1,20300,low_risk
8600.0,6.773,mortgage,44300,0.3227990970654628,3,0,14300,low_risk
9900.0,7.343,mortgage,49700,0.3963782696177062,4,0,19700,low_risk
9900.0,7.311,mortgage,49400,0.39271255060728744,4,0,19400,low_risk
7200.0,6.199,rent,38900,0.22879177377892032,2,0,8900,low_risk
9200.0,7.044,rent,46900,0.3603411513859275,3,0,16900,low_risk
8600.0,6.773,mortgage,44300,0.3227990970654628,3,0,14300,low_risk
11100.0,7.853,mortgage,54500,0.44954128440366975,5,1,24500,low_risk
8700.0,6.838,own,44900,0.33184855233853006,3,0,14900,low_risk
9300.0,7.072,mortgage,47100,0.3630573248407643,3,0,17100,low_risk
