SUCCESS,DEFAULT,AMOUNT,INTEREST,MONTHS,CREDIT,BIDS,HOUSE,CAR,Year,EDUCATION,WORKTIME,INCOME,IND,CITY,MARRY,ADDRESS,AGE
0,0,3000,15,3,1,1,1,0,2011,2,1,5,能源业,上海,未婚,上海,27
0,0,3000,15,6,1,0,0,0,2011,2,1,2,制造业,深圳,未婚,广东,32
0,0,3000,20,3,1,0,0,0,2011,2,2,4,建筑工程,苏州,未婚,江苏,32
0,0,3000,20.4,3,1,0,0,0,2011,1,2,3,IT,邯郸,已婚,河北,29
0,0,7000,15,6,5,14,0,0,2011,2,1,3,制造业,杭州,已婚,浙江,31
1,0,4000,20,3,1,7,1,0,2011,1,2,2,零售/批发,辽阳,已婚,辽宁,36
0,0,3000,20.4,6,1,0,0,0,2011,1,1,3,建筑工程,海口,未婚,海南,27
0,0,3000,3,9,1,0,0,0,2011,2,2,3,娱乐服务业,天津,未婚,天津,35
0,0,3000,5,6,1,0,0,0,2011,2,1,3,其它,上海,未婚,上海,29
0,0,3000,15,6,1,0,0,0,2011,1,2,4,IT,深圳,未婚,广东,28
0,0,3000,5,12,1,0,0,0,2011,2,1,3,其它,上海,未婚,上海,26
0,0,3000,18.3,6,1,0,0,0,2011,1,2,3,农业,肇庆,未婚,广东,26
0,0,3000,5,6,1,0,0,1,2011,2,1,3,房地产业,重庆,已婚,重庆,38
0,0,3000,10,12,1,0,0,0,2011,3,2,3,IT,上海,未婚,上海,24
0,0,3000,15,6,1,7,0,0,2011,3,2,3,零售/批发,西安,未婚,陕西,29
0,0,3000,3,12,1,0,0,0,2011,1,1,4,零售/批发,福州,未婚,福建,30
0,0,3000,10,6,1,0,1,0,2011,2,4,3,教育/培训,滁州,已婚,安徽,38
0,0,3000,18,6,1,3,0,0,2011,1,2,4,制造业,东莞,离异,广东,37
0,0,3000,20,9,1,1,0,0,2011,1,2,4,其它,福州,已婚,福建,31
0,0,3000,10,12,1,0,0,0,2011,2,3,3,医疗/卫生/保健,菏泽,未婚,山东,31
0,0,3000,20.4,3,1,0,0,0,2011,1,2,3,农业,黄冈,已婚,湖北,33
0,0,3000,3,6,1,0,1,0,2011,2,2,4,农业,长沙,未婚,湖南,26
0,0,3000,12,6,1,0,0,0,2011,2,1,3,零售/批发,泉州,未婚,福建,30
0,0,3000,3,24,1,0,1,1,2011,1,2,3,其它,鞍山,已婚,辽宁,32
0,0,3000,12,3,1,0,0,1,2011,1,1,4,农业,龙岩,已婚,福建,28
0,0,3000,3.1,6,1,0,0,0,2011,2,2,4,其它,北京,未婚,北京,28
0,0,3000,8,3,1,0,0,0,2011,1,4,3,制造业,福州,已婚,福建,40
0,0,3000,20,3,1,0,0,1,2011,1,2,5,交通运输业,深圳,已婚,广东,35
0,0,3000,20,3,1,2,0,0,2011,2,2,2,房地产业,东莞,未婚,广东,31
0,0,3000,3,36,1,0,0,0,2011,1,2,3,农业,佛山,已婚,广东,34
0,0,3000,8,6,4,7,1,1,2011,3,2,6,零售/批发,哈尔滨,未婚,黑龙江,30
0,0,3000,10,6,1,0,1,0,2011,1,1,3,制造业,宁波,未婚,浙江,38
0,0,3000,20,3,1,7,0,0,2011,2,1,3,其它,大连,未婚,辽宁,34
0,0,3000,5,3,1,0,0,0,2011,2,1,3,制造业,东莞,未婚,广东,24
0,0,3000,5,3,1,0,0,0,2011,2,2,2,政府机关,保定,未婚,河北,27
0,0,3000,10,9,1,0,0,0,2011,3,1,3,制造业,珠海,未婚,广东,31
0,0,3000,3,3,1,0,1,0,2011,3,3,4,制造业,南京,已婚,江苏,40
0,0,3000,20,3,1,0,0,0,2011,3,1,3,建筑工程,杭州,未婚,浙江,28
0,0,3000,20,6,1,0,0,0,2011,2,2,3,制造业,佛山,未婚,广东,28
0,0,3000,3,12,1,0,1,1,2011,1,1,4,IT,江门,已婚,广东,35
0,0,3000,20,3,1,0,1,0,2011,1,1,3,IT,西安,已婚,陕西,35
0,0,3000,20.4,6,1,0,0,0,2011,2,1,3,医疗/卫生/保健,郑州,未婚,河南,26
0,0,3000,3,6,1,0,0,0,2011,1,2,3,IT,丽水,未婚,浙江,27
0,0,3000,18,6,1,0,0,0,2011,1,2,3,零售/批发,北京,未婚,北京,32
0,0,3000,12,6,1,0,0,0,2011,3,1,4,制造业,北京,已婚,北京,27
0,0,3000,20,3,1,0,0,0,2011,1,4,3,交通运输业,中山,未婚,广东,37
0,0,3000,20.4,12,1,2,0,0,2011,1,2,2,制造业,盐城,已婚,江苏,29
0,0,3000,18,3,1,0,0,0,2011,1,4,2,公共事业,金华,已婚,浙江,35
0,0,3000,9.7,6,1,0,0,0,2011,1,1,2,零售/批发,广州,未婚,广东,25
0,0,3000,3,3,1,0,1,0,2011,1,2,3,零售/批发,清远,已婚,广东,31
1,0,5000,18.8,3,1,13,1,1,2011,2,2,3,其它,昆明,已婚,云南,35
0,0,3000,20.4,3,1,0,0,0,2011,1,2,3,医疗/卫生/保健,揭阳,未婚,广东,24
0,0,3000,3,9,1,0,0,0,2011,1,2,3,政府机关,杭州,未婚,浙江,30
0,0,3000,18,3,1,0,0,0,2011,1,2,3,其它,黄冈,已婚,湖北,40
0,0,3000,10,9,1,1,0,0,2011,2,2,3,制造业,潍坊,未婚,山东,28
0,0,3000,10,6,1,0,0,0,2011,2,1,3,其它,金华,未婚,浙江,28
0,0,3000,3,9,1,0,0,0,2011,1,1,3,房地产业,佛山,已婚,广东,31
0,0,3000,20,3,1,0,1,0,2011,1,2,4,其它,天津,已婚,天津,31
0,0,3000,20,3,1,0,0,0,2011,1,2,3,IT,无锡,未婚,江苏,31
0,0,3000,8,3,1,0,0,0,2011,3,4,4,医疗/卫生/保健,太原,未婚,山西,33
0,0,3000,20,9,1,1,0,0,2011,3,2,3,零售/批发,上海,未婚,上海,28
0,0,3000,20,3,1,0,1,0,2011,1,4,2,娱乐服务业,辽源,未婚,吉林,29
0,0,3000,3,6,1,0,0,0,2011,2,1,2,房地产业,成都,未婚,四川,28
0,0,3000,18.8,12,1,0,1,0,2011,1,2,3,制造业,石家庄,已婚,河北,30
0,0,3000,6,6,1,0,1,0,2011,2,2,3,IT,济南,未婚,山东,25
0,0,3000,20.4,3,1,0,0,0,2011,1,4,2,建筑工程,安庆,未婚,安徽,34
0,0,3000,20,6,1,0,0,0,2011,4,3,4,零售/批发,东莞,已婚,广东,41
0,0,3000,19,3,1,1,0,0,2011,1,1,2,零售/批发,江门,未婚,广东,29
0,0,3000,4,24,1,0,0,0,2011,1,2,3,制造业,深圳,未婚,广东,34
0,0,3000,5,6,1,1,1,0,2011,4,2,2,教育/培训,芜湖,未婚,安徽,27
0,0,3000,8,6,1,1,0,0,2011,3,2,3,教育/培训,北京,未婚,北京,35
0,0,3000,4,12,1,0,0,0,2011,2,1,3,制造业,龙岩,未婚,福建,28
0,0,3000,20.4,12,1,0,1,0,2011,1,3,3,制造业,无锡,未婚,江苏,27
0,0,3000,3,3,1,0,0,0,2011,2,3,3,制造业,深圳,未婚,广东,31
0,0,3000,3,6,1,0,1,0,2011,3,2,3,餐饮/旅馆业,武汉,未婚,湖北,23
0,0,3000,20,3,1,11,1,1,2011,2,3,3,金融/法律,太原,已婚,山西,48
0,0,3000,3,3,1,0,1,0,2011,2,4,3,金融/法律,肇庆,已婚,广东,34
0,0,3000,3,12,1,0,0,1,2011,1,4,3,交通运输业,石家庄,已婚,河北,48
0,0,26800,20,3,1,10,1,0,2011,4,3,3,其它,北京,已婚,北京,38
0,0,3000,3,6,1,0,1,0,2011,2,4,2,教育/培训,周口,已婚,河南,38
0,0,3000,20,3,1,0,0,1,2011,3,4,3,政府机关,贵港,未婚,广西,36
0,0,3000,3,3,1,0,0,0,2011,3,2,3,零售/批发,上海,未婚,上海,27
0,0,3000,20.4,3,1,1,1,1,2011,1,3,5,零售/批发,杭州,已婚,浙江,35
0,0,3000,20.4,3,1,5,0,0,2011,1,2,4,制造业,温州,未婚,浙江,26
0,0,3000,20.4,6,1,1,0,0,2011,3,4,2,教育/培训,阜新,未婚,辽宁,37
0,0,3000,15,6,1,0,0,0,2011,2,3,3,制造业,杭州,已婚,浙江,31
0,0,3000,20,3,1,3,0,0,2011,1,4,5,制造业,泉州,已婚,福建,34
0,0,3000,10,3,1,0,0,0,2011,1,3,3,体育/艺术,深圳,未婚,广东,28
0,0,3000,20,6,1,0,0,1,2011,2,2,3,其它,黔南,未婚,贵州,37
0,0,3000,18,3,1,1,0,0,2011,3,2,4,制造业,沈阳,未婚,辽宁,32
0,0,3000,6,12,1,0,0,0,2011,1,2,2,建筑工程,鄂尔多斯,未婚,内蒙古,25
0,0,3000,3,12,1,1,1,1,2011,2,3,3,政府机关,江门,已婚,广东,35
0,0,3000,10,12,1,1,0,1,2011,1,4,3,医疗/卫生/保健,韶关,已婚,广东,34
0,0,3000,20,3,1,0,0,0,2011,2,2,3,其它,金华,未婚,浙江,29
0,0,3000,18,6,1,0,1,0,2011,1,2,3,零售/批发,台州,已婚,浙江,31
0,0,3000,20,3,1,0,1,1,2011,2,2,2,制造业,金华,未婚,浙江,29
0,0,3000,18,3,1,0,1,0,2011,1,4,3,农业,重庆,已婚,重庆,63
0,0,3000,20,3,1,0,0,0,2011,3,3,5,公共事业,广州,未婚,广东,27
